method,formula_group,n_structures,pair_count,pairwise_order_accuracy,pairwise_tie_rate,top1_correct,spearman_rho,near_degenerate_pair_count,near_degenerate_pair_accuracy,near_degenerate_tie_rate,true_energy_range_mev_atom,pred_energy_range_mev_atom
raw_seed20260528,Ti3O,2,1,1.0,0.0,True,1.0,1,1.0,0.0,4.301608958334979,4.059155782064394
raw_seed20260528,Ca4Ta2O9,2,1,1.0,0.0,True,1.0,1,1.0,0.0,17.600276166666262,5.277506510415364
raw_seed20260528,VO2,2,1,1.0,0.0,True,1.0,0,,,35.889314583331,24.78472391764264
raw_seed20260528,V4O7F5,2,1,1.0,0.0,True,1.0,1,1.0,0.0,0.9728481249986488,1.2345314025878906
raw_seed20260528,LiFeF4,2,1,1.0,0.0,True,1.0,1,1.0,0.0,4.627787083334667,4.3274561564130565
raw_seed20260528,CsSrCl3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,2.952912999998336,3.362274169920632
raw_seed20260528,LiNiO2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,21.59057312499968,20.845890045166016
raw_seed20260528,LiMg2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,2.252446666666699,0.5181630452470998
raw_seed20260528,Li6Zn3(PS4)4,2,1,1.0,0.0,True,1.0,1,1.0,0.0,0.6358793103447002,0.4661823141169918
raw_seed20260528,K3Bi,2,1,1.0,0.0,True,1.0,1,1.0,0.0,14.359646249998804,26.2835820515952
raw_seed20260528,TiO2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,24.04650638888972,13.1518046061192
raw_seed20260528,SrHfO3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,0.3422949999989377,1.8661499023444603
raw_seed20260528,HgO,2,1,1.0,0.0,True,1.0,1,1.0,0.0,2.898971249998994,0.2171198527016749
raw_seed20260528,MgGa3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,8.694764999999599,12.694835662841797
raw_seed20260528,H2O,2,1,1.0,0.0,True,1.0,1,1.0,0.0,19.376071944444465,65.078417460124
raw_seed20260528,ZrO2,2,1,1.0,0.0,True,1.0,0,,,101.69754527777776,52.02187432183081
raw_seed20260528,SmCu,2,1,1.0,0.0,True,1.0,0,,,31.348156250000898,29.72269058227539
raw_seed20260528,Sb2(SO4)3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,16.257833823529523,6.121018353629992
raw_seed20260528,CaSeO3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,21.82594500000068,10.27984619140554
raw_seed20260528,MoSe2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,3.273344999998984,0.321070353189512
raw_seed20260528,Si,2,1,1.0,0.0,True,1.0,0,,,271.3745380882349,152.1888620713181
raw_seed20260528,Y2O3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,16.45081325000053,10.599772135416076
raw_seed20260528,MgAl2O4,2,1,1.0,0.0,True,1.0,0,,,26.36839607142916,33.65580240885446
raw_seed20260528,YZn2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,10.497333333333303,9.902318318685044
raw_seed20260528,Mg3Cd,2,1,1.0,0.0,True,1.0,0,,,29.527124374999,33.36954116821267
raw_seed20260528,HPd,2,1,1.0,0.0,True,1.0,0,,,33.0716674999998,17.07744598388672
raw_seed20260528,H2,2,1,1.0,0.0,True,1.0,0,,,2323.3008050000003,2267.467737197876
raw_seed20260528,GeS,2,1,1.0,0.0,True,1.0,0,,,76.1541225000002,44.24715042114258
raw_seed20260528,PbS,2,1,1.0,0.0,True,1.0,1,1.0,0.0,18.607549999998696,5.2361488342276274
raw_seed20260528,MgCl2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,0.7988666666660649,2.6798248291020066
raw_seed20260528,Hg,2,1,1.0,0.0,True,1.0,1,1.0,0.0,14.022153333331302,20.664999882380243
raw_seed20260528,MnP2O7,2,1,1.0,0.0,True,1.0,1,1.0,0.0,9.936939499999298,6.050872802734197
raw_seed20260528,RbFeF4,2,1,1.0,0.0,True,1.0,1,1.0,0.0,10.466324166666483,8.530616760253906
raw_seed20260528,TaSe2,2,1,1.0,0.0,True,1.0,1,1.0,0.0,12.397449166665186,8.40059916178415
raw_seed20260528,LiAg3,2,1,1.0,0.0,True,1.0,1,1.0,0.0,0.4936487500017961,1.466512680053711
element_reference_seed20260528,Li,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,1.6723733333336002,0.4567702611284197
element_reference_seed20260528,SiC,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,0.0411808455869078,0.6053026984718934
element_reference_seed20260528,CaC2,2,1,0.0,0.0,False,-1.0,0,,,56.4965891666666,3.6703745524090974
element_reference_seed20260528,S,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,0.7549356746044018,1.0536133296908112
element_reference_seed20260528,VOF,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,3.711196666666528,3.9024353027330423
element_reference_seed20260528,Li2TlAg,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,8.540689999996687,12.664794921875
element_reference_seed20260528,Ag2S,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,13.318166666664396,3.023465474446707
element_reference_seed20260528,Na2Ti2O5,2,1,0.0,0.0,False,-1.0,0,,,26.35177638888786,7.566663953992858
element_reference_seed20260528,NaFeF3,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,0.4148375000001536,8.9965820312492
element_reference_seed20260528,Pr2(MoO4)3,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,15.452913823528649,20.66443948184737
element_reference_seed20260528,Ca3SiO,2,1,0.0,0.0,False,-1.0,1,0.0,0.0,0.7115155000008144,0.9361267089837976
