run_id,rank_weight,seed,rank_tag,split,pred_col,status,metrics_path,predictions_path,runtime_s,best_epoch,trainable_params,total_params,ranking_train_pairs,ranking_pairs_per_step,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2
rankw005_seed20260528,0.05,20260528,rankw005,test,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/r2scan_formdelta_rankw005_predictions.csv,434.53856897354126,190,498404,498643,4595,1024,3711,17.76308558247521,39.65520768284637,9.23101235541579,35.71367386993529,57.612985495737234,154.66671717824173,0.21737748736150117,0.9984400831958141
rankw005_seed20260529,0.05,20260529,rankw005,train,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,433.2947838306427,200,498404,498643,4595,1024,29692,13.661235065909118,39.002530975262445,7.176124632444214,27.073211367259667,40.59889373679964,102.28216711317815,-1.5008868739211068,0.9984532215186569
rankw005_seed20260529,0.05,20260529,rankw005,val,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,433.2947838306427,200,498404,498643,4595,1024,3712,17.78330405034281,41.56623168427064,8.809180822594936,37.65615960242783,58.86572391140896,151.45700803449847,-2.5927125262117743,0.9982321505324553
rankw005_seed20260529,0.05,20260529,rankw005,test,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,433.2947838306427,200,498404,498643,4595,1024,3711,18.351481746358875,42.56735392626532,9.215134577686968,36.781059557089435,60.55259249477958,163.4048800869997,-0.9297168629516981,0.9982025604731667
rankw005_seed20260530,0.05,20260530,rankw005,train,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,433.66648745536804,198,498404,498643,4595,1024,29692,14.028734793812786,40.06034573868523,7.195064452226202,27.33179851428336,42.305514506164386,109.03978846785809,-1.2267030028341634,0.998368181219981
rankw005_seed20260530,0.05,20260530,rankw005,val,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,433.66648745536804,198,498404,498643,4595,1024,3712,18.29151077899291,43.034516350008055,9.014150686659866,38.92655342894745,59.81910508708275,151.2988692496072,-2.2861714359463825,0.9981050496867273
rankw005_seed20260530,0.05,20260530,rankw005,test,pred_r2scan_formdelta_rankw005,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,433.66648745536804,198,498404,498643,4595,1024,3711,18.24127448517337,41.95495601368995,9.212284861144227,37.27118204768698,57.63260457866704,167.36090393788507,-0.8792523992441335,0.9982539064048129
rankw010_seed20260528,0.1,20260528,rankw010,train,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,434.6565327644348,196,498404,498643,4595,1024,29692,13.867281012380179,39.1671956145457,7.15741333733183,27.091649030051926,41.44968819660339,104.78230918929911,-0.5987347020956696,0.9984401332717049
rankw010_seed20260528,0.1,20260528,rankw010,val,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,434.6565327644348,196,498404,498643,4595,1024,3712,18.332192816233242,41.34647728979431,9.295085104784828,39.37107920752965,58.364245299191765,156.168931074388,-1.1466330866529226,0.9982507938264203
rankw010_seed20260528,0.1,20260528,rankw010,test,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,434.6565327644348,196,498404,498643,4595,1024,3711,18.262736679837666,41.1548403648714,9.448583021146762,35.61435364498622,59.04215043109252,172.07581301126373,0.18967288525158577,0.998319870249717
rankw010_seed20260529,0.1,20260529,rankw010,train,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,433.97203540802,200,498404,498643,4595,1024,29692,14.001170910010378,39.26196584161017,7.303484719089425,27.809380889217692,41.89757184624675,104.63282018389911,-1.4256521409881848,0.9984325755302043
rankw010_seed20260529,0.1,20260529,rankw010,val,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,433.97203540802,200,498404,498643,4595,1024,3712,18.548940001414884,42.91718981909304,9.078574653551108,40.42083682524066,61.90734886493427,163.41118542290917,-2.826360002361907,0.9981153681424718
