calibration,coefficient,value
element_reference,mu_Z1,1.773029200301192
element_reference,mu_Z2,5.2230930274562555
element_reference,mu_Z3,3.45413499624168
element_reference,mu_Z4,1.4738543351914735
element_reference,mu_Z5,-1.4878124124127958
element_reference,mu_Z6,-3.967687849173507
element_reference,mu_Z7,-2.8695990552621398
element_reference,mu_Z8,0.89826504783511
element_reference,mu_Z9,3.8044167796401323
element_reference,mu_Z10,5.231258678236077
element_reference,mu_Z11,4.028825001312999
element_reference,mu_Z12,3.612770266071155
element_reference,mu_Z13,1.4935433248060959
element_reference,mu_Z14,-0.2664992538274734
element_reference,mu_Z15,-0.1838102646976336
element_reference,mu_Z16,1.3522540950501514
element_reference,mu_Z17,3.6093541586842313
element_reference,mu_Z18,5.158050710955849
element_reference,mu_Z19,4.216472374201288
element_reference,mu_Z20,3.340922468939681
element_reference,mu_Z21,-1.0494930353384229
element_reference,mu_Z22,-2.6796978424913815
element_reference,mu_Z23,-3.2656810285241344
element_reference,mu_Z24,-4.055328123240856
element_reference,mu_Z25,-3.258311733561061
element_reference,mu_Z26,-3.1927069829522763
element_reference,mu_Z27,-1.8975197031930906
element_reference,mu_Z28,-0.4946885480106391
element_reference,mu_Z29,1.1086832691000346
element_reference,mu_Z30,3.9805701751100924
element_reference,mu_Z31,2.2164868128365462
element_reference,mu_Z32,0.5764255659838391
element_reference,mu_Z33,0.6639803960959691
element_reference,mu_Z34,1.9709270156152956
element_reference,mu_Z35,3.8305701224251174
element_reference,mu_Z36,5.126645933250268
element_reference,mu_Z37,4.340455878402632
element_reference,mu_Z38,3.66687563390164
element_reference,mu_Z39,-1.1423930883663849
element_reference,mu_Z40,-3.2208643233040193
element_reference,mu_Z41,-4.958718497073248
element_reference,mu_Z42,-5.175518497825072
element_reference,mu_Z43,-5.148647559353172
element_reference,mu_Z44,-4.033396382869401
element_reference,mu_Z45,-2.071435620528048
element_reference,mu_Z46,0.045851403758364925
element_reference,mu_Z47,2.3364009424607644
element_reference,mu_Z48,4.318087186801816
element_reference,mu_Z49,2.581629982786784
element_reference,mu_Z50,1.1629988484624583
element_reference,mu_Z51,1.1488785483584694
element_reference,mu_Z52,2.211931234692773
element_reference,mu_Z53,3.870620234070109
element_reference,mu_Z54,5.126152046395745
element_reference,mu_Z55,4.458489671485999
element_reference,mu_Z56,3.424587337975999
element_reference,mu_Z57,0.4499266378695198
element_reference,mu_Z58,-0.48685989008582636
element_reference,mu_Z59,0.553420528812668
element_reference,mu_Z60,0.5761798319585756
element_reference,mu_Z61,0.5351354299557904
element_reference,mu_Z62,0.6348686533124847
element_reference,mu_Z63,-4.912652702854574
element_reference,mu_Z64,-8.857439308666812
element_reference,mu_Z65,0.7349930872339231
element_reference,mu_Z66,0.7619872770654054
