epoch,train_loss,val_mae_mev_atom
1,0.2532382272183895,93.35755920410156
2,0.22459516860544682,86.6492919921875
3,0.21763060241937637,85.84644317626953
4,0.21475494466722012,85.26400756835938
5,0.21265656501054764,84.5817642211914
6,0.21112654358148575,84.71134185791016
7,0.20995124615728855,84.21063232421875
8,0.20879841037094593,84.16873168945312
9,0.20802756398916245,84.23300170898438
10,0.20665431767702103,84.08907318115234
11,0.20559302158653736,83.82393646240234
12,0.20466534048318863,84.0442886352539
13,0.20381936244666576,83.85315704345703
14,0.20286992751061916,83.86175537109375
15,0.2021420057862997,83.84577941894531
16,0.2007063440978527,83.48482513427734
17,0.20052282698452473,83.71770477294922
18,0.19991686008870602,83.33440399169922
19,0.19939810410141945,83.6256103515625
20,0.1983406338840723,84.1938705444336
21,0.19774327240884304,83.64300537109375
22,0.19659820012748241,83.29828643798828
23,0.19609851576387882,83.73994445800781
24,0.19546691700816154,83.32799530029297
25,0.19517448544502258,83.36654663085938
26,0.19459229707717896,83.35274505615234
27,0.1941645760089159,83.19721984863281
28,0.19298048317432404,83.19771575927734
29,0.1924326904118061,83.24960327148438
30,0.192239573225379,83.19246673583984
31,0.19162364676594734,83.26380157470703
32,0.1909332573413849,83.1302719116211
33,0.1910182200372219,83.0657730102539
34,0.1903354488313198,83.36800384521484
35,0.18988913111388683,83.10699462890625
36,0.18884524330496788,83.34015655517578
37,0.18815279006958008,83.2718734741211
38,0.18826005421578884,83.1059341430664
39,0.1872169841080904,83.44204711914062
40,0.1869542095810175,83.0215072631836
41,0.18647420033812523,83.04190826416016
42,0.1858971118927002,83.17962646484375
43,0.18549471721053123,83.47603607177734
44,0.1850532405078411,82.89521789550781
45,0.18437140434980392,83.32252502441406
46,0.1840686034411192,83.5096664428711
47,0.18349253199994564,83.61983489990234
48,0.18319180980324745,82.74960327148438
49,0.18236812762916088,83.24645233154297
50,0.18170484527945518,83.10342407226562
51,0.1808713786303997,83.0848159790039
52,0.18057706393301487,83.21176147460938
53,0.18057963997125626,83.0872802734375
54,0.18010807782411575,83.25199127197266
55,0.1793630514293909,82.83763122558594
56,0.17890906892716885,83.25106048583984
57,0.178946977481246,83.49221801757812
58,0.17735888063907623,82.63221740722656
59,0.17684500105679035,82.47663879394531
60,0.17706458549946547,83.0521011352539
61,0.1768361534923315,82.67788696289062
62,0.1761893592774868,83.52873992919922
63,0.17621929943561554,82.87818908691406
64,0.17536730878055096,83.27920532226562
65,0.17535816971212626,83.33271789550781
66,0.17477703280746937,82.90648651123047
67,0.17460862547159195,83.39068603515625
68,0.17413469776511192,83.15220642089844
69,0.17375455237925053,83.22696685791016
70,0.17286707274615765,82.923095703125
71,0.17188870534300804,82.60568237304688
72,0.17234416492283344,83.0479736328125
73,0.17162628285586834,83.18991088867188
74,0.1713283769786358,83.35284423828125
75,0.17090109549462795,83.08612823486328
76,0.17018972523510456,83.39215850830078
77,0.17077971529215574,82.97134399414062
78,0.1693442389369011,83.39926147460938
79,0.16915355622768402,83.14427947998047
80,0.1691815908998251,82.83014678955078
81,0.16822485253214836,83.2273178100586
82,0.16812515445053577,83.4167709350586
83,0.16808809340000153,82.81707763671875
84,0.16786976531147957,83.39595794677734
85,0.16684644110500813,83.08853149414062
86,0.166546031832695,83.45846557617188
87,0.1656614886596799,83.21223449707031
88,0.16533141024410725,83.17433166503906
89,0.16556970588862896,83.65076446533203
