comparison,truth_source,threshold_mev_atom,base_f1,method_f1,delta_f1_method_minus_base,base_daf,method_daf,delta_daf_method_minus_base,note
matris_affine_base_vs_canonical_formdelta,published,25,0.04472532814778804,0.013490725126475547,-0.031234603021312493,0.33208110497557863,0.2538735983690112,-0.07820750660656745,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
matris_affine_base_vs_composition_only_linear,published,25,0.04472532814778804,0.04704752760441671,0.0023221994566286694,0.33208110497557863,0.3332090978593272,0.001127992883748541,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
matris_affine_base_vs_matris_affine_base,published,25,0.04472532814778804,0.04472532814778804,0.0,0.33208110497557863,0.33208110497557863,0.0,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
matris_affine_base_vs_matris_element_reference,published,25,0.04472532814778804,0.13210161662817552,0.08737628848038748,0.33208110497557863,0.8219756505683457,0.489894545592767,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
matris_affine_base_vs_matris_raw_as_formation,published,25,0.04472532814778804,0.49425634824667475,0.4495310200988867,0.33208110497557863,1.0,0.6679188950244214,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
matris_affine_base_vs_simple_residual,published,25,0.04472532814778804,0.014705882352941176,-0.030019445794846864,0.33208110497557863,0.29777655147041915,-0.034304553505159485,point estimate from row-level formal hull predictions; formation MAE has paired bootstrap CI
