method,pred_col,subset,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2
matris_raw_as_formation,pred_matris_raw_as_formation,all_test_rows,5000,5536.541184082744,5892.4542525093275,5345.9758739471445,8264.958065643312,9065.408640740137,10635.842634277344,-5527.189728227375,-271.12857058112934
matris_raw_as_formation,pred_matris_raw_as_formation,multinary_test_rows,4981,5548.275631804512,5900.519109329974,5357.849353790283,8267.668118286134,9082.49248643355,10636.638856506346,-5548.275631804512,-1630.7019029033436
matris_raw_as_formation,pred_matris_raw_as_formation,unary_test_rows,19,2460.2630734443665,3128.503771917264,2003.7164688110352,5336.153888702392,5762.818066279094,5771.691013971965,0.6463621792039438,-0.017590527346428075
matris_element_reference,pred_matris_element_reference,all_test_rows,5000,319.1167881688561,539.7758575689572,222.91164309959456,711.3749341972236,885.2598171418508,1416.8921592558588,-1.440495008001084,-1.283539948722428
matris_element_reference,pred_matris_element_reference,multinary_test_rows,4981,302.7632386035672,415.52509263951043,222.0634575801143,700.8308711144693,862.8895841924777,1285.9171757986355,-19.016808753245904,-7.091981618997806
matris_element_reference,pred_matris_element_reference,unary_test_rows,19,4606.328913679601,5604.3447898919685,3347.8938976437316,10339.08443612179,10526.28312674549,11102.605408428379,4606.328913679601,-2.265497696718116
matris_affine_base,pred_matris_affine_base,all_test_rows,5000,87.65272464015662,346.6512370607504,48.889344098149294,160.976153411024,218.85548286334696,443.5138425306713,-7.105448139606839,0.05818151459569598
matris_affine_base,pred_matris_affine_base,multinary_test_rows,4981,71.50126109351112,111.2664789357136,48.61162977939992,158.80699551805637,213.44404651915522,381.85152132274214,-23.61836627023458,0.4197848461544471
matris_affine_base,pred_matris_affine_base,unary_test_rows,19,4321.886404947594,5327.0386681253185,3157.8323671932353,9990.356423460295,9996.481132283909,9999.74034965219,4321.886404947594,-1.9503353861459525
composition_only_linear,pred_composition_only_linear,all_test_rows,5000,95.27438820864083,349.07421987323943,54.09172148905914,175.28997160444558,238.86877710271446,483.6554209597112,-7.461423576964023,0.04496947308031285
composition_only_linear,pred_composition_only_linear,multinary_test_rows,4981,79.22017718920206,120.98762934177607,53.820258486197424,172.6748826031604,232.32361741658227,404.8345924982704,-23.90751984513326,0.31397125716321805
composition_only_linear,pred_composition_only_linear,unary_test_rows,19,4304.012550725719,5313.102695246415,3063.5734259330006,9967.91430974928,9974.709020240793,10018.555661837467,4304.012550725719,-1.934918936096404
simple_residual_seed20260528,pred_simple_residual_seed20260528,all_test_rows,5000,10.875129762572705,174.88697912214766,2.3925550000000113,8.62459785714279,13.495160500000031,65.3998249700001,3.4421052139808443,0.760284203414973
simple_residual_seed20260528,pred_simple_residual_seed20260528,multinary_test_rows,4981,5.202793447004657,33.93570053565406,2.3853569999999977,8.536917000000004,13.133449999999991,50.69689599999993,-1.699455139549443,0.9460273160514915
simple_residual_seed20260528,pred_simple_residual_seed20260528,unary_test_rows,19,1497.922876491228,2783.32439890985,383.03400000000033,5258.7516000000005,5523.859999999994,7341.8312000000005,1351.3427431578948,0.19457085083575087
simple_residual_seed20260529,pred_simple_residual_seed20260529,all_test_rows,5000,10.67808918768325,180.49356780150026,2.65319700000001,8.956016097999953,14.159210750000037,61.877585300000035,2.694754323504844,0.7446680506550796
simple_residual_seed20260529,pred_simple_residual_seed20260529,multinary_test_rows,4981,5.044882900036723,20.131241363658628,2.6397699999999995,8.841619999999995,13.490349999999998,43.380885333333104,-2.4837947927074433,0.9810066535847038
simple_residual_seed20260529,pred_simple_residual_seed20260529,unary_test_rows,19,1487.4675901754388,2909.7929548795128,313.7854666666668,4901.29194,5378.520302999991,8492.8270446,1360.2922884210527,0.11971385645357813
simple_residual_seed20260530,pred_simple_residual_seed20260530,all_test_rows,5000,10.620976676640778,170.01734016734682,2.5340473030303485,8.741311666666663,14.277300650000011,59.87655633000002,3.5078755202918446,0.7734478767834203
simple_residual_seed20260530,pred_simple_residual_seed20260530,multinary_test_rows,4981,4.864367869879653,15.729630168135083,2.521317342857099,8.5989070000001,13.717766666666693,46.59483599999973,-1.8444840972778105,0.98840428851629
simple_residual_seed20260530,pred_simple_residual_seed20260530,unary_test_rows,19,1519.761422280702,2746.2613290934123,324.7196666666672,5078.7873,5378.153049999994,7194.9186100000015,1406.6712047368421,0.21587840852311846
simple_residual,pred_simple_residual_ensemble,all_test_rows,5000,10.327103088532377,174.38092146892103,2.235316999999997,7.8536477666666675,12.639518947666666,61.188383750000085,3.214911685925845,0.7616694923726185
