method,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,stage_trainable_parameters,cumulative_trainable_parameters
fegx_plus_lora,8.881424319191543,42.80429726383719,2.7891784374993733,12.91214353045973,23.18804213089653,145.20153601868296,-1.3782769254148888,1641849.0,2502266.0
lora_only,10.857313369952251,43.84048433517818,4.532284136111286,16.88276322933448,25.47918433199219,146.66556649628467,-1.993327525900918,860417.0,860417.0
full_ft,12.22036791237957,47.18498081517065,4.9805601721193415,16.685076786955833,31.213349983545907,187.2189372793341,-3.9346383611860287,30333409.0,30333409.0
fegx_only,19.053692204296947,52.14177185137717,9.28511497222262,39.07467703232777,56.0593805946122,168.59660234239522,-1.269263319736965,1641849.0,1641849.0
frozen_eqv3,4467.075437998185,4752.375294858804,4315.836980814732,6593.920502436383,7631.3373017568865,9401.498452466714,-4467.075437998185,0.0,0.0
