label,mode,n_seeds,mae_mev_atom_mean,mae_mev_atom_std,rmse_mev_atom_mean,rmse_mev_atom_std,bias_mev_atom_mean,bias_mev_atom_std,median_abs_mev_atom_mean,median_abs_mev_atom_std,p90_abs_mev_atom_mean,p90_abs_mev_atom_std,p95_abs_mev_atom_mean,p95_abs_mev_atom_std,p99_abs_mev_atom_mean,p99_abs_mev_atom_std,best_epoch_mean,best_epoch_std,trainable_params_mean,trainable_params_std,final_alpha_mean,final_alpha_std,display_label,plot_order
A_target_only,target_only,5,196.46065584956025,3.4346579338759264,305.4934472225741,4.224192203812298,-16.223336692293998,5.645602133909319,122.089654135005,3.1224728094221708,446.7465528518021,10.555264827949076,642.4783024666046,22.06020523901104,1217.3956955201186,25.15131318061305,194.0,5.0990195135927845,541797.0,0.0,,,Target-only,0
B_stacking,stacking,5,63.52219833961514,1.6260175782053312,127.86394439534992,6.966778960285079,-14.021246758149829,1.2007652007885194,32.708146640801964,1.4930788895732303,135.0480272916402,3.175988411957931,219.686387826624,1.927269048352692,534.0401674058182,25.135425202485656,184.4,18.98157000882698,541797.0,0.0,,,Stacking,1
C_learnable_anchor,learnable_anchor,5,62.063178185409015,0.4638379629120783,194.42432792448847,3.142695934646885,-15.74782028008238,1.0591928778127115,26.515444811176497,0.4301808130677709,126.57107804826782,1.3181230217663042,212.2734491764796,9.446060925390125,519.1560906075107,8.591255177924902,171.8,15.073154945133416,541798.0,0.0,0.9956078171730042,0.0007054503163397,Learned alpha,2
D_fixed_anchor,fixed_anchor,5,62.100284788043226,0.6793935824688213,195.551491926629,5.467504734755834,-15.993179769522868,2.565449082762556,26.70227405338813,0.5214482138950283,127.4699477742837,1.3007356422641183,211.19557462185043,6.0392285917438935,513.11135617116,13.945591348433776,171.0,22.737634001804143,541797.0,0.0,1.0,0.0,Fixed alpha=1,3
