run_id,method,method_label,fraction,seed,split,pred_col,status,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2
raw_frac100_seed20260528,raw,Raw pretrained PBE/GGA predictor,0.1,20260528,train,model_energy_per_atom,baseline_only,29692,4507.124406154977,4895.432960962167,4353.81401846763,7063.056806019905,8102.79165184277,9961.718467740799,-4507.1243075231105,-23.368273252553905
raw_frac100_seed20260528,raw,Raw pretrained PBE/GGA predictor,0.1,20260528,val,model_energy_per_atom,baseline_only,3712,4524.424723476253,4903.091323745127,4376.554120550105,7025.3955966116455,8058.967558171445,9859.598648577683,-4524.424723476253,-23.598234582457753
raw_frac100_seed20260528,raw,Raw pretrained PBE/GGA predictor,0.1,20260528,test,model_energy_per_atom,baseline_only,3711,4511.14619559229,4891.874148198089,4328.789101071778,7004.029861092121,8016.205878182313,9794.516867372045,-4511.14619559229,-22.738404734247148
raw_frac100_seed20260528,raw,Raw pretrained PBE/GGA predictor,0.1,20260528,train_used,model_energy_per_atom,baseline_only,2969,4467.070103700162,4830.856267696451,4360.89634591675,6851.539038978597,7822.359866341306,9762.047997246986,-4467.070103700162,-22.169947070825685
raw_frac100_seed20260528,raw,Raw pretrained PBE/GGA predictor,0.1,20260528,train_full,model_energy_per_atom,baseline_only,29692,4507.124406154977,4895.432960962167,4353.81401846763,7063.056806019905,8102.79165184277,9961.718467740799,-4507.1243075231105,-23.368273252553905
element_reference_frac100_seed20260528,element_reference,Element-reference calibration,0.1,20260528,train,pred_element_reference,baseline_only,29692,110.9659014003421,188.49667564898573,66.74070524854648,252.6068092480079,388.00363481778146,733.665652844311,-1.2116517211674331,0.9638714999435896
element_reference_frac100_seed20260528,element_reference,Element-reference calibration,0.1,20260528,val,pred_element_reference,baseline_only,3712,108.23984736212199,177.82291049049766,65.90607720762232,241.72631157489747,383.50413913392543,718.0506834570753,-0.5144065919950919,0.9676451491202684
element_reference_frac100_seed20260528,element_reference,Element-reference calibration,0.1,20260528,test,pred_element_reference,baseline_only,3711,108.58213039343701,177.18974134129957,66.73311284403144,240.3750066522985,368.0605855584552,706.4025845529821,-6.266788330373369,0.9688557320318889
element_reference_frac100_seed20260528,element_reference,Element-reference calibration,0.1,20260528,train_used,pred_element_reference,baseline_only,2969,108.31986909929337,177.56051580461164,62.87493997054017,248.66322130043744,391.57919769394005,714.6962196368717,-1.4833387315874272e-12,0.9686981788731283
element_reference_frac100_seed20260528,element_reference,Element-reference calibration,0.1,20260528,train_full,pred_element_reference,baseline_only,29692,110.9659014003421,188.49667564898573,66.74070524854648,252.6068092480079,388.00363481778146,733.665652844311,-1.2116517211674331,0.9638714999435896
affine_energy_composition_frac100_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.1,20260528,train,pred_affine_energy_composition,baseline_only,29692,111.38921262258832,188.5765128307179,67.03069057702565,254.30412234358647,390.2204944639245,732.4517003805537,-1.15671648065894,0.9638408892343703
affine_energy_composition_frac100_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.1,20260528,val,pred_affine_energy_composition,baseline_only,3712,108.46689465280635,177.8240118578661,66.10503264370871,241.172526155938,384.143027197465,708.4242581696913,-0.354424014444291,0.9676447483317848
affine_energy_composition_frac100_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.1,20260528,test,pred_affine_energy_composition,baseline_only,3711,109.03185932401847,177.53737755132374,67.48458205682373,243.7143935020827,373.2571958749189,703.620074721604,-6.136852524870544,0.9687334055805311
affine_energy_composition_frac100_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.1,20260528,train_used,pred_affine_energy_composition,baseline_only,2969,108.6630077674157,177.50687418280333,63.41885204994474,250.42507424909925,394.6726221382765,713.7744484166177,-2.264570777073071e-13,0.9687170887846623
affine_energy_composition_frac100_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.1,20260528,train_full,pred_affine_energy_composition,baseline_only,29692,111.38921262258832,188.5765128307179,67.03069057702565,254.30412234358647,390.2204944639245,732.4517003805537,-1.15671648065894,0.9638408892343703
composition_only_linear_frac100_seed20260528,composition_only_linear,Composition-only linear baseline,0.1,20260528,train,pred_composition_only_linear,baseline_only,29692,385.1184288061378,579.104145305747,261.033542004152,874.895160572039,1138.858856941417,1762.2145390740839,5.140038389101147,0.6589988150982213
composition_only_linear_frac100_seed20260528,composition_only_linear,Composition-only linear baseline,0.1,20260528,val,pred_composition_only_linear,baseline_only,3712,376.1378637919543,566.694674037105,262.9559027870825,840.2887561092582,1100.3633111158829,1663.9411372314023,17.983006448396644,0.6714040274587137
composition_only_linear_frac100_seed20260528,composition_only_linear,Composition-only linear baseline,0.1,20260528,test,pred_composition_only_linear,baseline_only,3711,387.0810967370814,587.3157906870154,262.9639715204558,884.396441917231,1153.2837991785823,1689.1322258222658,8.756574212659627,0.6578281056571018
composition_only_linear_frac100_seed20260528,composition_only_linear,Composition-only linear baseline,0.1,20260528,train_used,pred_composition_only_linear,baseline_only,2969,373.365773792817,530.873159901106,249.26000105480435,863.5155412664011,1133.5104703062602,1794.8580577558073,-5.692837765878539e-13,0.7201931471447536
composition_only_linear_frac100_seed20260528,composition_only_linear,Composition-only linear baseline,0.1,20260528,train_full,pred_composition_only_linear,baseline_only,29692,385.1184288061378,579.104145305747,261.033542004152,874.895160572039,1138.858856941417,1762.2145390740839,5.140038389101147,0.6589988150982213
