stage,variant,split,reference_mode,source_metrics,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,delta_vs_direct_mae_mev_atom
single_model_fegx,direct_reference_fegx_single,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,2048,63.04966141729564,204.14584862319015,26.9697313279188,126.23763151652825,220.23743766364115,516.0553424549367,-20.180905101098944,-20.322443404075457
simple_residual_adapter,direct_reference_simple_residual,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,2048,75.30544129175968,297.7497547572073,26.115325331647398,128.05654348796142,232.33576749304768,926.9221362635501,-38.50812526407234,-8.066663529611418
adapter_baseline,direct_reference_simple_residual_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_raw,raw_model_energy_as_formation,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_reference_contract,direct_reference,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
fegx_baseline,direct_reference_fegx_single_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,2048,83.3721048213711,307.5630608620622,28.03332455859242,158.61420971424806,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
single_model_fegx,direct_reference_fegx_single,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,8192,46.6665956467876,219.44769324542568,17.634966263430307,73.74418500540622,127.15846133082238,425.4421995994197,-19.052510104855173,-45.28628124502882
simple_residual_adapter,direct_reference_simple_residual,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,8192,75.84217731333118,351.68870739824706,20.107503192679843,110.89968208310417,218.9930098456201,1300.7077482714283,-45.23567181295948,-16.11069957848524
adapter_baseline,direct_reference_simple_residual_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_raw,raw_model_energy_as_formation,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_reference_contract,direct_reference,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
fegx_baseline,direct_reference_fegx_single_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,8192,91.95287689181642,365.2052720250746,29.45953967998016,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
single_model_fegx,direct_reference_fegx_single,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,1024,72.96208248373443,232.61517586282125,26.437137772657493,131.3453592412607,269.4239231984658,764.8264825617844,-23.14558314803644,-14.334137395184896
simple_residual_adapter,direct_reference_simple_residual,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,1024,82.50603013983007,334.27537243344744,25.037743723053122,118.0350147655102,286.3996800957518,1229.9304016921753,-43.36670323293429,-4.790189739089257
direct_raw,raw_model_energy_as_formation,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,1022,87.29621987891933,337.0296119733361,27.139173926247693,143.91652547734256,299.75561308117494,942.2105727934647,-59.05712850629314,0.0
adapter_baseline,direct_reference_simple_residual_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/adapter/metrics.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
direct_reference_contract,direct_reference,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/direct_reference/contract_summary.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
fegx_baseline,direct_reference_fegx_single_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531/fegx/metrics.json,1024,90.08963760242898,343.31462725659276,27.17799074960059,144.8824563097573,312.6417043178981,1275.117412010216,-61.90570070513996,2.7934177235096485
