family,model,n_runs,n_canonical_pass,test_baseline_mae_mean,test_baseline_mae_sd_across_runs,test_formdelta_mae_mean,test_formdelta_mae_sd_across_runs,test_improvement_mean,test_improvement_sd_across_runs,test_relative_improvement_pct_mean
eqv3_lora,EqV3-LoRA,5,5,13.695271240726118,1.451948914464872,11.992011431594921,1.0411955213822939,1.7032598091311981,0.503681509419114,12.292969345507618
chgnet,CHGNet,3,3,33.76272809313858,0.0,28.150553806503126,0.7306978410596771,5.612174286635448,0.7306978410596771,16.622395770725593
matris,MatRIS,3,3,112.23221365161292,0.0,29.266362568681796,0.8002804842117788,82.96585108293114,0.8002804842117816,73.92338472488001
eqv3_base,EqV3,3,3,112.97331908199969,0.0,30.06420453319716,0.33623338107687883,82.90911454880252,0.33623338107687883,73.3882258417356
mace,MACE,3,3,112.54239547053537,0.0,33.0111317697647,0.44410075060887194,79.53126370077067,0.444100750608868,70.66782554987707
sevennet,SevenNet,3,3,86.22863201413325,0.0,61.42621854936033,0.23675763872033026,24.802413464772922,0.23675763872033026,28.763547426691975
alignn,ALIGNN,3,3,69.0633433752712,0.0,68.18188037109194,0.04489181605931467,0.8814630041792763,0.04489181605931467,1.2763109358746925
