run_id,family,model,seed,split,source_kind,reference_col,source_predictions,canonical_input,metrics_path,prediction_path,canonical_pass,best_epoch,trainable_params,total_params,n,baseline_n,formdelta_n,baseline_mae_mev_atom,formdelta_mae_mev_atom,baseline_rmse_mev_atom,formdelta_rmse_mev_atom,baseline_median_abs_mev_atom,formdelta_median_abs_mev_atom,baseline_p90_abs_mev_atom,formdelta_p90_abs_mev_atom,baseline_p95_abs_mev_atom,formdelta_p95_abs_mev_atom,baseline_p99_abs_mev_atom,formdelta_p99_abs_mev_atom,baseline_bias_mev_atom,formdelta_bias_mev_atom,baseline_r2,formdelta_r2,improvement_mev_atom,relative_improvement_pct
eqv3_lora_seed20260529,eqv3_lora,EqV3-LoRA,20260529,test,frozen_lora_direct_prediction,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260529/lora_direct_primary_package/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/eqv3_lora_seed20260529/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260529/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260529/canonical_formdelta_predictions.csv,True,107,498404,498643,2048,2048,2048,13.273088310453941,11.472966213718301,61.16255885687226,60.75898516046404,4.677176475524902,2.9788985848426544,18.31473112106321,14.112520217895504,29.727795720100417,28.69048118591304,168.62926214933378,164.78141039609906,0.21820827518759914,-2.202606210571993,0.9971273751359643,0.9971651593966032,1.80012209673564,13.562194830858287
eqv3_lora_seed20260530,eqv3_lora,EqV3-LoRA,20260530,test,frozen_lora_direct_prediction,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260530/lora_direct_primary_package/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/eqv3_lora_seed20260530/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260530/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260530/canonical_formdelta_predictions.csv,True,89,498404,498643,2048,2048,2048,16.025430576176454,13.482828262281647,66.96750970522515,66.30209743303827,4.5937299728393555,3.1685531139374197,22.161161899566647,15.377515787258737,43.91573071479795,27.275866270065247,257.08019219338877,254.78483263403174,-3.568632235326767,-2.241789325635672,0.9965562158694712,0.9966243131150204,2.5426023138948075,15.866046792369263
eqv3_lora_seed20260531,eqv3_lora,EqV3-LoRA,20260531,test,frozen_lora_direct_prediction,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260531/lora_direct_primary_package/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/eqv3_lora_seed20260531/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260531/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260531/canonical_formdelta_predictions.csv,True,171,498404,498643,2048,2048,2048,13.51640050601155,12.175739533914157,62.524595554351635,61.92195760301618,3.9850175380706787,3.1626224517822266,18.609321117400786,14.648222923278803,35.456240177154534,29.16669994592664,184.51858162879975,188.21616291999828,-1.6224422251607187,-1.6071932884056328,0.9969980088741505,0.9970555988600445,1.3406609720973925,9.918772172377704
eqv3_lora_seed20260532,eqv3_lora,EqV3-LoRA,20260532,test,frozen_lora_direct_prediction,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260532/lora_direct_primary_package/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/eqv3_lora_seed20260532/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260532/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260532/canonical_formdelta_predictions.csv,True,99,498404,498643,2048,2048,2048,13.63627526137457,12.170258889737442,62.983203555416495,62.53054369996406,4.612348973751101,3.1194835901260376,15.8091075718403,12.953728437423703,29.900598526000973,28.159999847412095,194.46578145027135,191.59769535064672,-4.51194985276792,-3.8524653286326966,0.9969538091088707,0.996997437670785,1.466016371637128,10.750856399838836
mace_seed20260528,mace,MACE,20260528,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/mace_seed20260528/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260528/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260528/canonical_formdelta_predictions.csv,True,195,498404,498643,2048,2048,2048,112.54239547053537,33.50216605335236,171.71410708098674,73.38161331450773,73.65869774663469,15.536922042336359,244.12554658129173,69.51268825243812,378.7038779717868,121.1317188647092,664.3573250585669,314.09899078599375,6.522883294622572,-1.5106921379831721,0.9773577503532279,0.9958649369683464,79.04022941718301,70.23151505414373
mace_seed20260529,mace,MACE,20260529,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/mace_seed20260529/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260529/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260529/canonical_formdelta_predictions.csv,True,200,498404,498643,2048,2048,2048,112.54239547053537,32.89363601660389,171.71410708098674,70.95335548698728,73.65869774663469,15.104927018647214,244.12554658129173,71.43851362962691,378.7038779717868,114.40328196913688,664.3573250585669,300.2241317474234,6.522883294622572,-2.626950159949304,0.9773577503532279,0.9961340743251023,79.64875945393148,70.77222687585697
mace_seed20260530,mace,MACE,20260530,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/mace_seed20260530/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260530/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260530/canonical_formdelta_predictions.csv,True,193,498404,498643,2048,2048,2048,112.54239547053537,32.637593239337846,171.71410708098674,71.14665982468283,73.65869774663469,15.083980918680517,244.12554658129173,69.21904516694855,378.7038779717868,115.9141037940341,664.3573250585669,312.2640785602806,6.522883294622572,-0.4547212030977637,0.9773577503532279,0.9961129810825294,79.90480223119752,70.99973471963047
matris_seed20260528,matris,MatRIS,20260528,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/matris_seed20260528/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260528/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260528/canonical_formdelta_predictions.csv,True,198,498404,498643,2045,2045,2045,112.23221365161292,29.860587679648717,171.88618588579664,71.63333709715491,72.50264672873774,11.53319912116224,244.8125851021584,62.64193092536105,376.1189400757209,110.88473336014935,670.1913948836607,310.7527024774054,5.940128368417961,-2.5764747717766374,0.9771870801470123,0.9960378647872439,82.3716259719642,73.39392433945851
matris_seed20260529,matris,MatRIS,20260529,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/matris_seed20260529/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260529/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260529/canonical_formdelta_predictions.csv,True,197,498404,498643,2045,2045,2045,112.23221365161292,29.582129480575485,171.88618588579664,70.50133163151116,72.50264672873774,12.322214797866327,244.8125851021584,63.45859239266821,376.1189400757209,107.20463710547617,670.1913948836607,329.1678089708446,5.940128368417961,-3.789607361832103,0.9771870801470123,0.9961621007902309,82.65008417103743,73.64203331816724
matris_seed20260530,matris,MatRIS,20260530,test,train_only_calibrated_reference,pred_affine_energy_composition,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/inputs/matris_seed20260530/calibrated_predictions.csv,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260530/metrics.json,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260530/canonical_formdelta_predictions.csv,True,197,498404,498643,2045,2045,2045,112.23221365161292,28.356370545821182,171.88618588579664,69.11086321978578,72.50264672873774,11.622188829549795,244.8125851021584,58.78488287396831,376.1189400757209,100.38060919767233,670.1913948836607,306.88590782718927,5.940128368417961,-1.0177488945738995,0.9771870801470123,0.9963119944995591,83.87584310579174,74.73419651701428
