stage,variant,split,reference_mode,source_metrics,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,delta_vs_direct_mae_mev_atom
single_model_fegx,direct_reference_fegx_single,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,2048,61.45660266852636,191.02005655094118,27.23867699437979,129.10334419319975,204.84913992765036,517.1446205515749,-14.785069757365164,-21.915502152844738
simple_residual_adapter,direct_reference_simple_residual,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,2048,74.92898165667562,295.57462441764613,25.469911566111232,128.72789568346153,220.38342169695682,939.8281743003108,-36.19688181397786,-8.443123164695479
adapter_baseline,direct_reference_simple_residual_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_raw,raw_model_energy_as_formation,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_reference_contract,direct_reference,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
fegx_baseline,direct_reference_fegx_single_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,2048,83.3721048213711,307.5630608620622,28.03332455859242,158.61420971424806,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
single_model_fegx,direct_reference_fegx_single,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,8192,42.75476782501716,204.73899362577583,16.202415683324535,67.34448353103087,119.48459605987614,366.96266553074133,-14.53743176999342,-49.198109066799255
simple_residual_adapter,direct_reference_simple_residual,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,8192,71.63380066566506,345.8073159298725,18.059617827249742,100.21908611262006,204.8814301293286,1265.0490801093335,-42.73024646737031,-20.319076226151353
adapter_baseline,direct_reference_simple_residual_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_raw,raw_model_energy_as_formation,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_reference_contract,direct_reference,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
fegx_baseline,direct_reference_fegx_single_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,8192,91.95287689181642,365.2052720250746,29.45953967998016,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
single_model_fegx,direct_reference_fegx_single,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,1024,70.29764438036362,217.75452560427553,28.28341905127596,124.76211400600312,235.8922644514639,739.694982856628,-17.569453232610886,-16.99857549855571
simple_residual_adapter,direct_reference_simple_residual,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,1024,82.72338958840051,333.0834102791359,25.7041377440978,117.83454276682383,268.91448275576914,1230.506530726336,-40.92359494363546,-4.572830290518823
direct_raw,raw_model_energy_as_formation,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,1022,87.29621987891933,337.0296119733361,27.139173926247693,143.91652547734256,299.75561308117494,942.2105727934647,-59.05712850629314,0.0
adapter_baseline,direct_reference_simple_residual_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/adapter/metrics.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
direct_reference_contract,direct_reference,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/direct_reference/contract_summary.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
fegx_baseline,direct_reference_fegx_single_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532/fegx/metrics.json,1024,90.08963760242898,343.31462725659276,27.17799074960059,144.8824563097573,312.6417043178981,1275.117412010216,-61.90570070513996,2.7934177235096485
