stage,variant,split,reference_mode,source_metrics,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,delta_vs_direct_mae_mev_atom
single_model_fegx,direct_reference_fegx_single,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/fegx/metrics.json,2048,61.459181210878576,192.81809727682628,25.954726080122946,128.62615227857233,212.55575460946616,488.63801959820455,-13.432499526700013,-21.91292361049252
simple_residual_adapter,direct_reference_simple_residual,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/adapter/metrics.json,2048,74.94546196369625,292.4084329195464,26.30080518792599,125.62385481938223,223.2224807344352,903.2901693291767,-33.90818859379787,-8.42664285767485
adapter_baseline,direct_reference_simple_residual_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/adapter/metrics.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_raw,raw_model_energy_as_formation,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_reference_contract,direct_reference,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
fegx_baseline,direct_reference_fegx_single_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/fegx/metrics.json,2048,83.3721048213711,307.5630608620622,28.03332455859242,158.61420971424806,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
single_model_fegx,direct_reference_fegx_single,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/fegx/metrics.json,8192,42.67744438444255,201.43983730329236,16.613565565300135,70.48225692824091,118.02592207743562,372.46143149282034,-13.501257957257623,-49.275432507373864
simple_residual_adapter,direct_reference_simple_residual,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/adapter/metrics.json,8192,67.63854757023174,336.7183527678823,16.460183886731595,87.82205989536898,184.42554590515664,1213.1997762450253,-39.72949778254406,-24.31432932158468
adapter_baseline,direct_reference_simple_residual_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/adapter/metrics.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_raw,raw_model_energy_as_formation,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
