id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-15821,LiNdGe,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-15821.cif,train,-0.7893066713888888,-4.449066162109375,-0.7784487285862238,-0.7787015780581168,-0.6904857402727445,9,3
mp-581864,CsAsSe2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-581864.cif,train,-0.7527765626562477,-3.760198831558228,-0.8089147304863209,-0.8082017750513222,-1.0569425002181694,32,3
mp-1225771,Cu3PdAu4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1225771.cif,train,-0.0844351599999981,-3.881789207458496,-0.0837567311993479,-0.0833131779007736,-0.2380630594921861,8,3
mp-23922,HN,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-23922.cif,train,-0.0644573543750004,-5.918704032897949,-0.1189652830529954,-0.1182946802999413,-0.3522591147004029,32,2
mp-1187515,YbSnO3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1187515.cif,train,-1.8246114642500004,-6.244588088989258,-2.56063725907259,-2.561828954862106,-2.146062049508698,5,3
mp-1005755,SmGe2Pt,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1005755.cif,train,-0.977463573750004,-5.897365093231201,-0.9549010257929024,-0.9554057499642266,-0.779314159627045,16,3
mp-21145,SrFeO2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-21145.cif,train,-2.210825896874999,-6.347445487976074,-1.692930969735646,-1.6923756795405298,-1.8861090870312585,4,3
mp-1513,Co9S8,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1513.cif,train,-0.4391167660294119,-6.181956122903263,-0.5910997431963603,-0.5908676849399006,-0.6718297425353239,17,2
mp-3056,NaTlO2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3056.cif,train,-1.234516744375,-4.465987205505371,-1.4152175213160847,-1.4140665380164703,-1.8156293939102608,4,3
mp-865533,Ti2ReOs,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-865533.cif,train,-0.6421273164583354,-10.425999641418455,-0.5392706853538822,-0.5394961114093286,-0.4608479410594461,4,3
