method,n,mae_mev_atom,rmse_mev_atom,bias_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom
Frozen,2048,83.3721048213711,307.5630608620622,-58.24372909928778,28.03332455859242,158.614209714248,268.1172625306737,942.3049437263068
Simple residual,2048,75.27123286357018,295.4633279777427,-35.19963127722106,26.390632510504663,121.91112176216645,226.60768989743613,933.6516612310502
FE-GX,2048,62.08994782685154,191.98653886815734,-16.368820827084335,26.384341203703617,126.81711193750037,206.54270021896522,521.1590867024989
