seed,run_dir,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom
20260528,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903,2048,62.08994782685154,191.98653886815737,26.384341203703617,126.81711193750037,206.54270021896522,521.159086702499,-16.36882082708434
20260529,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529,2048,62.446029653209415,197.78692480092712,26.96389820495537,126.56549140685476,211.79287968380143,522.5599157435744,-15.198608298034998
20260530,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260530,2048,61.459181210878576,192.81809727682628,25.954726080122946,128.6261522785723,212.55575460946616,488.63801959820455,-13.432499526700012
20260531,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260531,2048,63.04966141729564,204.14584862319012,26.9697313279188,126.23763151652824,220.23743766364117,516.0553424549367,-20.180905101098944
20260532,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260532,2048,61.45660266852636,191.0200565509412,27.23867699437979,129.10334419319975,204.8491399276504,517.1446205515749,-14.785069757365164
