run_id,method,method_label,fraction,seed,split,pred_col,status,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2,metrics_path,predictions_path,runtime_s,best_epoch,trainable_params,total_params
affine_energy_composition_frac010_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.01,20260528,test,pred_affine_energy_composition,baseline_only,3711,152.55214690630825,305.6273696749621,91.89094451712066,293.2783616771708,471.48295215943295,1160.2780153471992,-38.808674867556526,0.9073414570534736,,,,,,
affine_energy_composition_frac010_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.01,20260528,train,pred_affine_energy_composition,baseline_only,29692,162.00968685369435,355.3144755098982,91.80405192986146,319.98429694115094,514.2785858061837,1345.1888568811964,-37.22375678342379,0.8716285807482879,,,,,,
affine_energy_composition_frac010_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.01,20260528,train_full,pred_affine_energy_composition,baseline_only,29692,162.00968685369435,355.3144755098982,91.80405192986146,319.98429694115094,514.2785858061837,1345.1888568811964,-37.22375678342379,0.8716285807482879,,,,,,
affine_energy_composition_frac010_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.01,20260528,train_used,pred_affine_energy_composition,baseline_only,297,96.47430815820393,150.6073477772421,62.07338281560393,206.90576822707456,338.2705805942704,616.8157938888728,-9.906030354399545e-13,0.9783922481997784,,,,,,
affine_energy_composition_frac010_seed20260528,affine_energy_composition,Linear energy+composition calibration,0.01,20260528,val,pred_affine_energy_composition,baseline_only,3712,156.47313496657446,329.0113218904363,89.61164264618438,306.5298875506704,511.4462910563635,1319.5054811336088,-30.42003115267585,0.8892393080376054,,,,,,
affine_energy_composition_frac010_seed20260529,affine_energy_composition,Linear energy+composition calibration,0.01,20260529,test,pred_affine_energy_composition,baseline_only,3711,152.5209788899763,256.0045045412885,97.0099004766345,340.7353075123805,469.7046162030396,939.4620836323736,-7.335412816507355,0.934987600838176,,,,,,
affine_energy_composition_frac010_seed20260529,affine_energy_composition,Linear energy+composition calibration,0.01,20260529,train,pred_affine_energy_composition,baseline_only,29692,155.6741142843972,288.9460460148308,94.15203912370306,341.1530680201446,499.4625906630988,953.055225039231,-5.332995499020905,0.9151061846253992,,,,,,
affine_energy_composition_frac010_seed20260529,affine_energy_composition,Linear energy+composition calibration,0.01,20260529,train_full,pred_affine_energy_composition,baseline_only,29692,155.6741142843972,288.9460460148308,94.15203912370306,341.1530680201446,499.4625906630988,953.055225039231,-5.332995499020905,0.9151061846253992,,,,,,
affine_energy_composition_frac010_seed20260529,affine_energy_composition,Linear energy+composition calibration,0.01,20260529,train_used,pred_affine_energy_composition,baseline_only,297,105.82965694791255,164.07243716138245,62.08486056820295,245.0303154535473,377.9067573435696,553.5912815801053,-8.074349270001138e-14,0.9752020806719836,,,,,,
affine_energy_composition_frac010_seed20260529,affine_energy_composition,Linear energy+composition calibration,0.01,20260529,val,pred_affine_energy_composition,baseline_only,3712,150.4720304577908,271.7991367996386,94.0271949986266,334.1268474337655,458.4358357549527,870.3976740281362,-0.5696038441818485,0.9244107353626684,,,,,,
affine_energy_composition_frac010_seed20260530,affine_energy_composition,Linear energy+composition calibration,0.01,20260530,test,pred_affine_energy_composition,baseline_only,3711,145.72260248787305,278.4625368200926,86.87703025576266,307.53313876428723,437.6105377453292,953.4674890284184,-5.400930358622221,0.923080840563663,,,,,,
affine_energy_composition_frac010_seed20260530,affine_energy_composition,Linear energy+composition calibration,0.01,20260530,train,pred_affine_energy_composition,baseline_only,29692,155.8644256010741,339.8218120206669,86.45306875930703,322.21873038139114,473.16672390884247,1177.881340618458,-5.706377764914079,0.8825791977228187,,,,,,
affine_energy_composition_frac010_seed20260530,affine_energy_composition,Linear energy+composition calibration,0.01,20260530,train_full,pred_affine_energy_composition,baseline_only,29692,155.8644256010741,339.8218120206669,86.45306875930703,322.21873038139114,473.16672390884247,1177.881340618458,-5.706377764914079,0.8825791977228187,,,,,,
affine_energy_composition_frac010_seed20260530,affine_energy_composition,Linear energy+composition calibration,0.01,20260530,train_used,pred_affine_energy_composition,baseline_only,297,98.43485235633682,150.21385993292725,61.06960074651632,220.07118174457565,328.44930615884914,589.2734082166669,2.2787607939780992e-12,0.9757628467941112,,,,,,
affine_energy_composition_frac010_seed20260530,affine_energy_composition,Linear energy+composition calibration,0.01,20260530,val,pred_affine_energy_composition,baseline_only,3712,146.90068878666014,301.9168295341617,84.57807822414607,300.3196769480555,430.545229357832,947.885397922402,3.5614467547675024,0.9067307211959325,,,,,,
classical_delta_frac010_seed20260528,classical_delta,Classical residual adapter,0.01,20260528,test,pred_fe_adapter,completed,3711,126.19652634489952,303.685897701713,56.01948715362326,265.6441783975225,454.6112706504846,1280.7345706094625,-39.78132888555302,0.908514929074778,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/fe_adapter_predictions.csv,14.560143947601318,79.0,,
classical_delta_frac010_seed20260528,classical_delta,Classical residual adapter,0.01,20260528,train,pred_fe_adapter,completed,29692,136.6728328126993,355.50895580517573,56.99058982852516,289.64420905529784,507.2975868798143,1381.5279844548866,-37.363436560232465,0.871488014879484,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/fe_adapter_predictions.csv,14.560143947601318,79.0,,
classical_delta_frac010_seed20260528,classical_delta,Classical residual adapter,0.01,20260528,val,pred_fe_adapter,completed,3712,132.7189180108052,330.3790670370752,54.51821184979527,281.0824038121245,517.1927601516778,1414.8177865639254,-30.356998065472617,0.8883164991486737,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/classical_delta/classical_delta_frac010_seed20260528/fe_adapter_predictions.csv,14.560143947601318,79.0,,
