run_id,method,fraction,seed,runtime_s,gpu_hours,trainable_params,total_params,test_mae_mev_atom,gpu_inventory,foundation_inference_rerun,notes
feature_stacking_frac050_seed20260528,feature_stacking,0.05,20260528,30.489996671676636,0.008469443519910176,498404.0,498643.0,112.05470882386778,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac050_seed20260529,feature_stacking,0.05,20260529,30.41432476043701,0.008448423544565837,498404.0,498643.0,115.3099435747008,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac050_seed20260530,feature_stacking,0.05,20260530,28.037615537643433,0.007788226538234287,498404.0,498643.0,108.00269753907217,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac050_seed20260528,formdelta,0.05,20260528,36.2171516418457,0.010060319900512696,498404.0,498643.0,82.18275738005065,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac050_seed20260529,formdelta,0.05,20260529,22.220094442367554,0.0061722484562132095,498404.0,498643.0,81.97914684167107,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac050_seed20260530,formdelta,0.05,20260530,26.700926065444946,0.00741692390706804,498404.0,498643.0,81.55161492632222,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac050_seed20260528,target_only,0.05,20260528,25.65440011024475,0.007126222252845764,498404.0,498643.0,352.57011637045747,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac050_seed20260529,target_only,0.05,20260529,35.117125272750854,0.00975475702020857,498404.0,498643.0,352.00281554448355,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac050_seed20260530,target_only,0.05,20260530,33.605138301849365,0.009334760639402601,498404.0,498643.0,346.50522159417005,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
classical_delta_frac100_seed20260528,classical_delta,0.1,20260528,22.99923038482666,0.006388675106896295,,,33.663110775328136,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
classical_delta_frac100_seed20260529,classical_delta,0.1,20260529,25.109437227249146,0.006974843674235873,,,32.8679740602375,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
