method,method_label,fraction,n_runs,mae_mev_atom_mean,mae_mev_atom_std,rmse_mev_atom_mean,p95_abs_mev_atom_mean,runtime_s_mean,trainable_params_mean
raw,Raw pretrained PBE/GGA predictor,1.0,3,4511.14619559229,0.0,4891.874148198089,8016.205878182313,,
element_reference,Element-reference calibration,1.0,3,103.9890722689754,0.0,166.80174919763675,364.1270690313595,,
affine_energy_composition,Linear energy+composition calibration,1.0,3,104.15822204048794,0.0,166.82904326153488,363.32827153909096,,
composition_only_linear,Composition-only linear baseline,1.0,3,374.51600306460097,6.961868572213853e-14,537.9054083814397,1161.0103018116615,,
classical_delta,Classical residual adapter,1.0,3,16.42478012641239,0.0848099547644233,41.34286981062417,48.80498200527658,70.0948235988617,
feature_stacking,Feature-stacking direct-y baseline,1.0,3,30.28924000091744,0.123868864408821,76.23290095997137,91.138992855398,142.70434991518655,498404.0
target_only,Target-only small MLP,1.0,3,65.69792702770717,0.4494521066433392,132.24299621108457,187.40523420027617,126.83093428611755,498404.0
formdelta,Canonical FormDelta fixed-anchor residual,1.0,3,17.805478010595923,0.3790575570088978,40.92997288070174,57.133856253613736,138.30609480539957,498404.0
element_reference_internal,Internal element-reference anchor,1.0,9,103.98907793163102,0.0,166.80174475747486,364.12694344604535,,
