family,model,n_runs,n_canonical_pass,test_baseline_mae_mean,test_formdelta_mae_mean,test_improvement_mean,test_relative_improvement_pct_mean,test_formdelta_mae_sd_across_runs
matris,MatRIS,3,3,112.23221365161292,29.2663625686818,82.96585108293114,73.92338472488001,0.8002804842117788
eqv3_base,EqV3,3,3,112.97331908199968,30.06420453319716,82.90911454880252,73.3882258417356,0.3362333810768788
mace,MACE,3,3,112.54239547053535,33.0111317697647,79.53126370077067,70.66782554987707,0.4441007506088719
sevennet,SevenNet,3,3,86.22863201413325,61.42621854936033,24.80241346477292,28.76354742669197,0.2367576387203302
chgnet,CHGNet,3,3,33.76272809313858,28.15055380650313,5.612174286635448,16.622395770725593,0.7306978410596771
eqv3_lora,EqV3-LoRA,5,5,13.695271240726118,11.99201143159492,1.703259809131198,12.292969345507618,1.041195521382294
alignn,ALIGNN,3,3,69.0633433752712,68.18188037109194,0.8814630041792763,1.2763109358746925,0.0448918160593146
