method_family,rank_weight,n_runs,n_test_rows_mean,n_test_rows_std,n_test_rows_sem,n_test_rows_min,n_test_rows_max,mae_mev_atom_mean,mae_mev_atom_std,mae_mev_atom_sem,mae_mev_atom_min,mae_mev_atom_max,rmse_mev_atom_mean,rmse_mev_atom_std,rmse_mev_atom_sem,rmse_mev_atom_min,rmse_mev_atom_max,median_abs_mev_atom_mean,median_abs_mev_atom_std,median_abs_mev_atom_sem,median_abs_mev_atom_min,median_abs_mev_atom_max,p95_abs_mev_atom_mean,p95_abs_mev_atom_std,p95_abs_mev_atom_sem,p95_abs_mev_atom_min,p95_abs_mev_atom_max,bias_mev_atom_mean,bias_mev_atom_std,bias_mev_atom_sem,bias_mev_atom_min,bias_mev_atom_max,n_formula_groups_mean,n_formula_groups_std,n_formula_groups_sem,n_formula_groups_min,n_formula_groups_max,pair_count_mean,pair_count_std,pair_count_sem,pair_count_min,pair_count_max,pairwise_order_accuracy_mean,pairwise_order_accuracy_std,pairwise_order_accuracy_sem,pairwise_order_accuracy_min,pairwise_order_accuracy_max,pairwise_tie_rate_mean,pairwise_tie_rate_std,pairwise_tie_rate_sem,pairwise_tie_rate_min,pairwise_tie_rate_max,top1_groups_mean,top1_groups_std,top1_groups_sem,top1_groups_min,top1_groups_max,top1_accuracy_mean,top1_accuracy_std,top1_accuracy_sem,top1_accuracy_min,top1_accuracy_max,near_degenerate_pair_count_mean,near_degenerate_pair_count_std,near_degenerate_pair_count_sem,near_degenerate_pair_count_min,near_degenerate_pair_count_max,near_degenerate_pair_accuracy_mean,near_degenerate_pair_accuracy_std,near_degenerate_pair_accuracy_sem,near_degenerate_pair_accuracy_min,near_degenerate_pair_accuracy_max,near_degenerate_tie_rate_mean,near_degenerate_tie_rate_std,near_degenerate_tie_rate_sem,near_degenerate_tie_rate_min,near_degenerate_tie_rate_max,spearman_group_mean_mean,spearman_group_mean_std,spearman_group_mean_sem,spearman_group_mean_min,spearman_group_mean_max,spearman_group_median_mean,spearman_group_median_std,spearman_group_median_sem,spearman_group_median_min,spearman_group_median_max,spearman_pair_weighted_mean_mean,spearman_pair_weighted_mean_std,spearman_pair_weighted_mean_sem,spearman_pair_weighted_mean_min,spearman_pair_weighted_mean_max,rank_tag
rankw000,0.0,3,3711.0,0.0,0.0,3711.0,3711.0,17.805478133130475,0.3790581728562526,0.21884933813708515,17.43106411348828,18.18901574380292,40.92997276586668,1.5598640538047577,0.9005879313633978,39.46378691235222,42.56910109401161,9.128397097221347,0.22842781369574522,0.1318828597276362,8.89355591666341,9.34982000000073,57.13385847628269,1.3916399206069137,0.8034636827774311,56.21200541666718,58.73465424025065,-0.4391914043805527,0.504274770783412,0.29114317465733974,-0.9864012440552148,0.0067912633568067,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.7549999999999999,0.061441028637222526,0.03547299442298793,0.71,0.825,0.0016666666666666668,0.002886751345948129,0.0016666666666666668,0.0,0.005,78.0,0.0,0.0,78.0,78.0,0.6965811965811967,0.07512134970618352,0.04337133147475307,0.6410256410256411,0.782051282051282,169.0,0.0,0.0,169.0,169.0,0.719921104536489,0.0693427843441694,0.040035075207464375,0.6686390532544378,0.7988165680473372,0.0019723865877712,0.0034162737821871294,0.0019723865877712002,0.0,0.0059171597633136,0.4641599548192954,0.1400883999810892,0.08088007543942582,0.3573854716711859,0.6227810650887573,1.0,0.0,0.0,1.0,1.0,0.5695877004067958,0.12334523239164003,0.07121340312457032,0.4811916726489591,0.7105,rankw000
rankw005,0.05000000000000001,3,3711.0,0.0,0.0,3711.0,3711.0,18.118614241092207,0.31278823986510446,0.1805883744854673,17.763086281069796,18.351481625985848,41.392506513756956,1.535386496971361,0.886455807336532,39.65520818642512,42.56735428367296,9.219475057870353,0.010068619518052206,0.005813120189115362,9.212287187499223,9.230982777779118,58.59940273525132,1.6915659955101083,0.9766260828597784,57.612981785181205,60.55262204557237,-0.5305308250626686,0.6481983370446421,0.3742374843809919,-0.9297167137005904,0.2173768590560756,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.7366666666666667,0.045092497528228984,0.02603416558635554,0.69,0.78,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7051282051282052,0.07692307692307693,0.04441155916843276,0.6282051282051282,0.782051282051282,169.0,0.0,0.0,169.0,169.0,0.6982248520710059,0.047337278106508895,0.02733019025749709,0.650887573964497,0.7455621301775148,0.0,0.0,0.0,0.0,0.0,0.4656992580069503,0.13191316239708412,0.07616009981961133,0.3394054663285432,0.6025922795153564,1.0,0.0,0.0,1.0,1.0,0.5485714285714286,0.08589382981332246,0.04959082576444963,0.4607142857142857,0.6323571428571428,rankw005
rankw010,0.10000000000000002,3,3711.0,0.0,0.0,3711.0,3711.0,18.679173272605144,0.3723576914762814,0.21498081340865868,18.26273720988475,18.98005200033116,42.670202367797025,1.341273360275477,0.7743845356119206,41.15484160361564,43.7049667493705,9.540467059342566,0.20669692499602993,0.11933652528712577,9.395643636361308,9.77717500000419,60.12139506773471,1.4287771595189411,0.8249048776602496,59.042161847222594,61.74168087500264,-0.5933589896477759,0.6938341420636089,0.4005853286933777,-1.131679670165156,0.189672881626812,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.7283333333333332,0.03253203549323859,0.01878237944930776,0.695,0.76,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7136752136752137,0.0578108942669602,0.03337713536712247,0.6538461538461539,0.7692307692307693,169.0,0.0,0.0,169.0,169.0,0.6824457593688362,0.03258917483601244,0.01881536886423956,0.650887573964497,0.7159763313609467,0.0,0.0,0.0,0.0,0.0,0.48168967784352396,0.0839655493248299,0.048477532505345346,0.3889264581572273,0.5524936601859678,1.0,0.0,0.0,1.0,1.0,0.5223333333333332,0.08396617192185728,0.048477891961906695,0.446142857142857,0.6123571428571428,rankw010
rankw020,0.20000000000000004,3,3711.0,0.0,0.0,3711.0,3711.0,19.662452553939165,0.3239721129863834,0.18704538664262033,19.406971408179015,20.02684681496644,44.47979439688646,0.7753930779105661,0.44767340225943786,43.62441713207893,45.13657193432365,10.021911473291334,0.08634138479470543,0.04984922175342824,9.94885512820909,10.117192624996797,61.92301132843509,1.3685160150853457,0.7901130896998383,60.955693234375886,63.48882464460765,-0.18416535520710378,0.6383408765138648,0.36854627689002156,-0.745221739383696,0.5103566471724881,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.7216666666666667,0.027537852736430536,0.015898986690282443,0.69,0.74,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7051282051282052,0.02220577958421636,0.012820512820512813,0.6794871794871795,0.717948717948718,169.0,0.0,0.0,169.0,169.0,0.6863905325443787,0.02133462293173957,0.012317550292699004,0.6627218934911243,0.7041420118343196,0.0,0.0,0.0,0.0,0.0,0.4982999906076829,0.03595498590193361,0.020758620789190572,0.4577909270216962,0.5264299802761341,1.0,0.0,0.0,1.0,1.0,0.5199523809523809,0.04234348932758582,0.02444702496170972,0.4715,0.5498571428571428,rankw020
affine_energy_composition,,3,3711.0,0.0,0.0,3711.0,3711.0,104.15822204048794,0.0,0.0,104.15822204048794,104.15822204048794,166.82904326153488,0.0,0.0,166.82904326153488,166.82904326153488,65.50261150414217,0.0,0.0,65.50261150414217,65.50261150414217,363.32827153909085,6.961868572213853e-14,4.019436694230464e-14,363.3282715390909,363.3282715390909,-4.33025172621445,0.0,0.0,-4.33025172621445,-4.33025172621445,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.805,0.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7051282051282052,0.0,0.0,0.7051282051282052,0.7051282051282052,169.0,0.0,0.0,169.0,169.0,0.7810650887573964,0.0,0.0,0.7810650887573964,0.7810650887573964,0.0,0.0,0.0,0.0,0.0,0.4396167934629473,0.0,0.0,0.4396167934629473,0.4396167934629473,1.0,0.0,0.0,1.0,1.0,0.6611428571428571,0.0,0.0,0.6611428571428571,0.6611428571428571,
composition_only_linear,,3,3711.0,0.0,0.0,3711.0,3711.0,374.51600306460097,6.961868572213853e-14,4.019436694230464e-14,374.516003064601,374.516003064601,537.9054083814397,0.0,0.0,537.9054083814397,537.9054083814397,238.67819920117776,3.4809342861069267e-14,2.009718347115232e-14,238.67819920117773,238.67819920117773,1161.0103018116615,0.0,0.0,1161.0103018116615,1161.0103018116615,3.0817159959828726,0.0,0.0,3.0817159959828726,3.0817159959828726,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,78.0,0.0,0.0,78.0,78.0,0.4615384615384615,0.0,0.0,0.4615384615384615,0.4615384615384615,169.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
element_reference,,3,3711.0,0.0,0.0,3711.0,3711.0,103.98907226897536,1.7404671430534633e-14,1.004859173557616e-14,103.98907226897538,103.98907226897538,166.80174919763675,0.0,0.0,166.80174919763675,166.80174919763675,65.15005878055958,0.0,0.0,65.15005878055958,65.15005878055958,364.1270690313595,0.0,0.0,364.1270690313595,364.1270690313595,-4.354698229303327,0.0,0.0,-4.354698229303327,-4.354698229303327,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.805,0.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7051282051282052,0.0,0.0,0.7051282051282052,0.7051282051282052,169.0,0.0,0.0,169.0,169.0,0.7810650887573964,0.0,0.0,0.7810650887573964,0.7810650887573964,0.0,0.0,0.0,0.0,0.0,0.4396167934629473,0.0,0.0,0.4396167934629473,0.4396167934629473,1.0,0.0,0.0,1.0,1.0,0.6611428571428571,0.0,0.0,0.6611428571428571,0.6611428571428571,
raw,,3,3711.0,0.0,0.0,3711.0,3711.0,4511.14619559229,0.0,0.0,4511.14619559229,4511.14619559229,4891.874148198089,0.0,0.0,4891.874148198089,4891.874148198089,4328.789101071778,0.0,0.0,4328.789101071778,4328.789101071778,8016.205878182313,0.0,0.0,8016.205878182313,8016.205878182313,-4511.14619559229,0.0,0.0,-4511.14619559229,-4511.14619559229,78.0,0.0,0.0,78.0,78.0,200.0,0.0,0.0,200.0,200.0,0.805,0.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,78.0,0.7051282051282052,0.0,0.0,0.7051282051282052,0.7051282051282052,169.0,0.0,0.0,169.0,169.0,0.7810650887573964,0.0,0.0,0.7810650887573964,0.7810650887573964,0.0,0.0,0.0,0.0,0.0,0.4396167934629473,0.0,0.0,0.4396167934629473,0.4396167934629473,1.0,0.0,0.0,1.0,1.0,0.6611428571428571,0.0,0.0,0.6611428571428571,0.6611428571428571,
