method,truth_source,threshold_mev_atom,n,base_rate,discovery_acceleration_factor,precision,recall,f1,accuracy,tp,fp,fn,tn
canonical_formdelta,published,25,4981,0.328247339891588,0.2538735983690112,0.0833333333333333,0.0073394495412844,0.0134907251264755,0.6476611122264605,12,132,1623,3214
canonical_formdelta,formal_true,25,4981,0.0248945994780164,29.848062275985665,0.7430555555555556,0.8629032258064516,0.7985074626865671,0.989158803453122,107,37,17,4820
matris_affine_base,published,25,4981,0.328247339891588,0.33208110497557863,0.1090047393364928,0.0281345565749235,0.044725328147788,0.6055009034330455,46,376,1589,2970
matris_affine_base,formal_true,25,4981,0.0248945994780164,9.233240330224735,0.2298578199052132,0.782258064516129,0.3553113553113553,0.9293314595462758,97,325,27,4532
simple_residual,published,25,4981,0.328247339891588,0.29777655147041915,0.0977443609022556,0.0079510703363914,0.0147058823529411,0.6502710299136719,13,120,1622,3226
simple_residual,formal_true,25,4981,0.0248945994780164,35.33695124909047,0.8796992481203008,0.9435483870967742,0.9105058365758756,0.995382453322626,117,16,7,4841
