comparison,seed,method_family,method_rank_weight,split,independent_unit,n_formula_groups,point_pairwise_accuracy_delta_method_minus_lambda0,pairwise_ci95_low,pairwise_ci95_high,pairwise_p_delta_le_0,point_top1_accuracy_delta_method_minus_lambda0,top1_ci95_low,top1_ci95_high,top1_p_delta_le_0,point_near_pair_accuracy_delta_method_minus_lambda0,near_pair_ci95_low,near_pair_ci95_high,near_pair_p_delta_le_0,bootstrap_samples
lambda0_vs_rank_weight,20260528,rankw005,0.05,test,formula group,78,-0.04,-0.0925925925925926,0.0220629084967319,0.9322,-0.0384615384615384,-0.1282051282051282,0.0512820512820512,0.8509,-0.0414201183431952,-0.1142857142857142,0.0155069040697674,0.9501,10000
lambda0_vs_rank_weight,20260528,rankw010,0.1,test,formula group,78,-0.035,-0.1052631578947368,0.037037037037037,0.8821,-0.0128205128205127,-0.1025641025641025,0.0769230769230769,0.6654,-0.0414201183431952,-0.1325331940004917,0.0329670329670329,0.9007,10000
lambda0_vs_rank_weight,20260528,rankw020,0.2,test,formula group,78,-0.04,-0.0869565217391303,0.0504201680672268,0.8481,0.0128205128205128,-0.0897435897435897,0.1153846153846154,0.4516,-0.0295857988165679,-0.0846791279387643,0.0683823529411764,0.7872,10000
lambda0_vs_rank_weight,20260529,rankw005,0.05,test,formula group,78,0.03,-0.0227925644275454,0.127456195244055,0.1693,0.0641025641025641,-0.0384615384615384,0.1666666666666666,0.1223,0.029585798816568,-0.0314723320158102,0.141304347826087,0.2148,10000
lambda0_vs_rank_weight,20260529,rankw010,0.1,test,formula group,78,0.02,-0.0308880308880309,0.1271224961479198,0.2856,0.0769230769230768,-0.0256410256410256,0.1794871794871795,0.0843,0.0118343195266272,-0.0452136685279676,0.1290322580645161,0.3924,10000
lambda0_vs_rank_weight,20260529,rankw020,0.2,test,formula group,78,0.025,-0.0335195530726256,0.1515219155844154,0.2584,0.0769230769230768,-0.0384615384615384,0.1923076923076923,0.1095,0.0355029585798817,-0.0290456431535269,0.1792513304305757,0.1978,10000
lambda0_vs_rank_weight,20260530,rankw005,0.05,test,formula group,78,-0.0449999999999999,-0.0928576957098629,0.0540592918499894,0.7907,0.0,-0.0641025641025641,0.0641025641025641,0.5812,-0.0532544378698224,-0.1103942932067931,0.0636411992263056,0.7907,10000
lambda0_vs_rank_weight,20260530,rankw010,0.1,test,formula group,78,-0.0649999999999999,-0.1226782574852709,0.0504201680672269,0.8616,-0.0128205128205127,-0.1025641025641025,0.0769230769230768,0.6581,-0.0828402366863905,-0.150464829749104,0.0481976292265837,0.8925,10000
lambda0_vs_rank_weight,20260530,rankw020,0.2,test,formula group,78,-0.0849999999999999,-0.1423493576210869,0.0190476190476189,0.9562,-0.0641025641025641,-0.1538461538461538,0.0384615384615384,0.9219,-0.1065088757396449,-0.1721854304635761,0.0108695652173912,0.9697,10000
